idx,topology,N,n_free,v_target,v_pred,abs_err,pass_50mV,pass_75mV
0,Basic,3,1,2.933333396911621,3.12890625,0.1955728530883789,0,0
1,Basic,3,1,8.163265228271484,7.7890625,0.3742027282714844,0,0
2,Basic,3,1,4.928691387176514,4.87890625,0.04978513717651367,1,1
3,Basic,3,1,3.9207921028137207,3.51171875,0.4090733528137207,0,0
4,Basic,3,1,0.5212569236755371,0.76025390625,0.2389969825744629,0,0
5,Basic,3,1,14.679715156555176,14.9140625,0.23434734344482422,0,0
6,Basic,3,1,3.0712263584136963,3.599609375,0.5283830165863037,0,0
7,Basic,3,1,1.534883737564087,1.6044921875,0.06960844993591309,0,1
8,Basic,3,1,4.85263729095459,4.75,0.10263729095458984,0,0
9,Basic,3,1,7.534002780914307,6.859375,0.6746277809143066,0,0
10,Basic,3,1,7.975831031799316,7.5859375,0.3898935317993164,0,0
11,Basic,3,1,10.468143463134766,10.703125,0.23498153686523438,0,0
12,Basic,3,1,0.10904912650585175,3.51171875,3.4026696234941483,0,0
13,Basic,3,1,7.264416217803955,6.578125,0.6862912178039551,0,0
14,Basic,4,2,2.857142925262451,0.33544921875,2.521693706512451,0,0
15,Basic,4,2,4.831624984741211,2.958984375,1.872640609741211,0,0
16,Basic,4,2,0.10467882454395294,0.1134033203125,0.008724495768547058,1,1
17,Basic,4,2,8.924050331115723,5.55859375,3.3654565811157227,0,0
18,Basic,4,2,1.7067713737487793,0.78662109375,0.9201502799987793,0,0
19,Basic,4,2,0.318922758102417,0.0526123046875,0.266310453414917,0,0
20,Basic,4,2,1.6443575620651245,1.2265625,0.4177950620651245,0,0
21,Basic,4,2,0.09727592021226883,-0.039276123046875,0.13655204325914383,0,0
22,Intermediate,4,2,8.99472427368164,10.1015625,1.1068382263183594,0,0
23,Intermediate,4,2,0.05768788978457451,0.032318115234375,0.02536977455019951,1,1
24,Intermediate,4,2,0.04837429150938988,0.0178375244140625,0.030536767095327377,1,1
25,Intermediate,4,1,11.46237564086914,11.125,0.3373756408691406,0,0
26,Intermediate,4,1,7.0,6.91796875,0.08203125,0,0
27,Intermediate,4,1,14.179510116577148,13.4765625,0.7029476165771484,0,0
28,Intermediate,5,3,0.15917514264583588,0.462158203125,0.3029830604791641,0,0
29,Intermediate,5,3,5.184778213500977,3.552734375,1.6320438385009766,0,0
30,Intermediate,5,3,3.153430223464966,2.462890625,0.6905395984649658,0,0
31,Intermediate,5,3,2.5535194873809814,0.9111328125,1.6423866748809814,0,0
32,Intermediate,5,3,18.878787994384766,15.4140625,3.4647254943847656,0,0
33,Intermediate,5,3,4.673805236816406,1.9892578125,2.6845474243164062,0,0
34,Intermediate,5,3,1.7569546699523926,0.9775390625,0.7794156074523926,0,0
35,Intermediate,5,3,0.008176862262189388,0.04852294921875,0.04034608695656061,1,1
36,Intermediate,5,3,2.6664016246795654,1.2392578125,1.4271438121795654,0,0
37,Intermediate,5,2,2.7844901084899902,2.392578125,0.39191198348999023,0,0
38,Intermediate,5,2,18.206201553344727,17.96875,0.23745155334472656,0,0
39,Intermediate,5,2,3.2548394203186035,4.203125,0.9482855796813965,0,0
40,Intermediate,5,2,4.653156757354736,8.9140625,4.260905742645264,0,0
41,Intermediate,6,4,0.06025158613920212,0.238525390625,0.17827380448579788,0,0
42,Intermediate,6,4,7.684059143066406,7.4140625,0.26999664306640625,0,0
43,Intermediate,6,4,0.07975336909294128,0.07720947265625,0.002543896436691284,1,1
44,Intermediate,6,4,3.000019073486328,2.130859375,0.8691596984863281,0,0
45,Intermediate,6,4,0.03522919863462448,0.1019287109375,0.06669951230287552,0,1
46,Intermediate,6,4,3.228944778442383,1.2841796875,1.9447650909423828,0,0
47,Intermediate,6,4,1.5196560621261597,1.7119140625,0.19225800037384033,0,0
48,Intermediate,6,4,0.9619314074516296,0.277587890625,0.6843435168266296,0,0
49,Intermediate,5,2,1.7820171117782593,1.8720703125,0.09005320072174072,0,0
50,Intermediate,5,2,2.016219139099121,2.375,0.3587808609008789,0,0
51,Intermediate,5,2,1.4137061834335327,0.705078125,0.7086280584335327,0,0
52,Intermediate,5,2,1.297653079032898,2.509765625,1.212112545967102,0,0
53,Intermediate,5,2,2.1968045234680176,2.251953125,0.05514860153198242,0,1
54,Hard,12,7,0.21554340422153473,1.5478515625,1.3323081582784653,0,0
55,Hard,12,7,7.567010402679443,4.1484375,3.4185729026794434,0,0
56,Hard,12,7,0.06596095114946365,0.2373046875,0.17134373635053635,0,0
57,Hard,13,8,17.13109588623047,15.171875,1.9592208862304688,0,0
58,Hard,13,10,11.401275634765625,2.755859375,8.645416259765625,0,0
59,Hard,16,11,5.0087738037109375,3.876953125,1.1318206787109375,0,0
60,Hard,16,12,0.22981049120426178,3.04296875,2.813158258795738,0,0
61,Hard,17,14,8.990477561950684,9.6640625,0.6735849380493164,0,0
62,Hard,11,6,10.19163990020752,6.875,3.3166399002075195,0,0
63,Hard,13,8,12.41530990600586,13.859375,1.4440650939941406,0,0
64,Hard,11,6,21.26166343688965,8.0546875,13.206975936889648,0,0
65,Hard,13,8,23.999996185302734,17.296875,6.703121185302734,0,0
66,Hard,11,7,6.731085300445557,14.75,8.018914699554443,0,0
67,Hard,7,4,0.022144382819533348,0.1693115234375,0.14716714061796665,0,0
68,Hard,8,5,1.8238364458084106,0.94580078125,0.8780356645584106,0,0
69,Hard,10,7,7.11813497543335,2.939453125,4.17868185043335,0,0
70,Hard,10,7,0.9059848189353943,1.490234375,0.5842495560646057,0,0
71,Hard,10,5,7.0839762687683105,0.3125,6.7714762687683105,0,0
72,Hard,17,12,4.931135654449463,4.765625,0.1655106544494629,0,0
73,Hard,17,11,4.717571258544922,4.03515625,0.6824150085449219,0,0
74,Hard,17,12,2.398667335510254,1.751953125,0.6467142105102539,0,0
75,Hard,17,12,14.999624252319336,6.23046875,8.769155502319336,0,0
76,Hard,21,17,14.27074146270752,6.578125,7.6926164627075195,0,0
77,Hard,21,16,2.7688112258911133,3.71484375,0.9460325241088867,0,0
78,Hard,25,19,4.657465934753418,3.42578125,1.231684684753418,0,0
79,Hard,25,20,20.07245445251465,20.625,0.5525455474853516,0,0
80,Hard,26,21,4.97376823425293,3.173828125,1.7999401092529297,0,0
81,Hard,17,11,3.4926810264587402,8.4609375,4.96825647354126,0,0
82,Hard,19,13,4.957221031188965,3.806640625,1.1505804061889648,0,0
83,Hard,17,12,13.397558212280273,9.71875,3.6788082122802734,0,0
84,Hard,19,13,15.048523902893066,11.8515625,3.1969614028930664,0,0
85,Hard,17,13,10.835195541381836,10.296875,0.5383205413818359,0,0
86,Hard,10,6,4.147470951080322,0.319580078125,3.8278908729553223,0,0
87,Hard,10,5,11.31911849975586,11.734375,0.4152565002441406,0,0
88,Hard,11,7,4.275825500488281,8.28125,4.005424499511719,0,0
89,Hard,10,4,9.201960563659668,17.84375,8.641789436340332,0,0
90,Hard,14,10,1.8308483362197876,7.1640625,5.333214163780212,0,0
91,Hard,14,9,2.6478066444396973,5.390625,2.7428183555603027,0,0
