circuit,transformer,layer,head,query_pos,query_tok,argmax_key_pos,max_score,attn_entropy,n_past_keys
CKT_0015,T1,0,0,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,1,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,2,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,3,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,4,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,5,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,6,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,7,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,8,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,9,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,10,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,11,0,start,0,0.0,-0.0,1
CKT_0015,T1,0,12,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,0,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,1,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,2,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,3,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,4,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,5,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,6,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,7,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,8,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,9,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,10,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,11,0,start,0,0.0,-0.0,1
CKT_0015,T1,1,12,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,0,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,1,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,2,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,3,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,4,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,5,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,6,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,7,0,start,0,0.0,-0.0,1
CKT_0015,T1,2,8,0,start,0,0.0,-0.0,1
